H,S,V,Label
23.0936,145.4792,255.0,Orange
21.4556,148.5196,255.0,Orange
22.4092,104.8704,255.0,Orange
20.4724,144.0572,255.0,Orange
19.1756,165.2188,255.0,Orange
20.7736,161.8712,255.0,Orange
21.142,159.1616,255.0,Orange
21.0296,157.4668,255.0,Orange
21.1128,156.4128,255.0,Orange
21.3372,152.5204,255.0,Orange
21.5456,142.8048,255.0,Orange
21.3572,135.0576,255.0,Orange
